0.07909,0.0007783,0.01735,-0.1095,-0.2534,0.7317,0.6753,-0.001773,0.01236,0.1089,-0.2565,0.7368,-0.6818,-0.02926,-0.001964,-0.01956,-0.0007557,0.001883,0.00338,-0.00428,0.0201,0.003584,0.0006068,0.000149,-0.1609,-0.3439,0.003763
0.08184,9.842e-05,0.0162,-0.1095,-0.2531,0.7409,0.6843,0.003758,0.01713,0.1154,-0.2556,0.7295,-0.6707,-0.02291,0.00487,-0.01675,0.002597,-0.002677,0.00598,-0.002882,0.02269,-0.0004827,-0.001374,0.00277,-0.1659,-0.3426,-0.001379
0.0828,0.00108,0.01328,-0.1104,-0.2557,0.7343,0.6761,0.0002668,0.01174,0.1069,-0.2589,0.7367,-0.6783,-0.029,-0.0008316,-0.01777,0.0008019,0.0005993,-0.00116,0.001585,0.01735,0.001113,0.006277,-0.002168,-0.1604,-0.3462,0.002943
0.07692,-0.001253,0.02252,-0.115,-0.2564,0.7253,0.6701,-0.001579,0.01535,0.1094,-0.2534,0.7416,-0.6885,-0.02803,-0.001272,-0.0175,-0.002019,0.0002641,0.002433,-0.002966,0.02603,0.004959,0.004496,-0.001917,-0.1651,-0.344,0.00221
0.07935,0.0008267,0.01933,-0.112,-0.2554,0.7395,0.6846,0.004668,0.008694,0.1061,-0.2554,0.7292,-0.6723,-0.02912,-0.002934,-0.01904,0.003507,-0.002799,0.001409,-0.005342,0.01899,0.007994,0.002391,-0.005005,-0.1608,-0.3445,-0.002895
0.07438,-0.002288,0.01453,-0.1172,-0.2503,0.7309,0.6782,-0.002484,0.01474,0.1133,-0.2546,0.7344,-0.6824,-0.02908,0.003887,-0.0187,-0.003301,0.0001529,0.001111,-0.0005889,0.02016,-0.0002161,-3.255e-05,-0.002288,-0.1694,-0.3411,0.004146
0.07655,0.0002964,0.01499,-0.1142,-0.2526,0.7277,0.673,0.0006488,0.01383,0.106,-0.2609,0.7391,-0.686,-0.02688,-0.000556,-0.01917,0.0006366,-0.000265,0.0005866,-0.005908,0.0193,0.0006797,-0.0005289,-0.004434,-0.162,-0.347,0.009248
0.07814,0.0004911,0.01107,-0.1156,-0.255,0.7279,0.672,-0.002859,0.01507,0.1091,-0.2544,0.7399,-0.6858,-0.02681,-0.0009816,-0.01959,-0.001689,0.002482,0.005498,0.005053,0.01812,-0.00311,-0.0001142,-0.00307,-0.1654,-0.3435,0.002786
0.07843,0.0008661,0.0182,-0.1125,-0.2565,0.7342,0.6789,0.001603,0.004986,0.1103,-0.2577,0.7339,-0.6787,-0.02464,5.522e-05,-0.02013,0.001742,-0.0005429,-0.00278,-0.005099,0.0157,0.009732,-0.004544,-0.001531,-0.1641,-0.3469,0.0008651
0.08192,2.083e-05,0.01581,-0.1107,-0.2585,0.7328,0.6752,-0.003193,0.01695,0.109,-0.2586,0.7376,-0.6798,-0.02718,-0.002522,-0.01898,-0.002214,0.002379,-0.005082,-0.001525,0.02217,-0.0009124,-0.003141,-0.0007172,-0.1621,-0.3481,0.001158
