0.988861,0.988724,1.99232,-0.128311,-0.42227,19954.6,0.988593,0.000137439,183887.0
0.988744,0.988802,1.89931,-0.13399,-0.42127,19941.0,0.98857,-5.81332e-05,183183.0
0.988802,0.988809,1.83274,-0.11734,0.744899,19929.9,0.988606,-7.52314e-06,183957.0
0.988784,0.988565,2.78585,-0.12676,0.316676,19968.1,0.988469,0.000219065,183795.0
0.988665,0.988899,3.22454,-0.145731,0.192644,19941.7,0.988581,-0.000233899,182914.0
0.988851,0.988712,2.51429,-0.117441,0.629543,19944.5,0.988578,0.000139055,182747.0
0.988733,0.988598,2.47472,-0.129895,0.302995,19981.3,0.988463,0.000135016,182841.0
0.988806,0.988699,3.40013,-0.119362,0.389606,19956.7,0.988549,0.000107206,184212.0
0.988793,0.98887,3.15509,-0.136214,-0.23246,19950.3,0.988631,-7.65e-05,183315.0
0.988644,0.988655,2.4539,-0.116494,0.071601,19956.4,0.988444,-1.18175e-05,183259.0
